1, And the winner by KO... YONG PHILLIPS, 1-0-0, 0-1-0
29467, And the winner by KO... FRANK WELCH, 6-4-1, 2-5-1
29468, And the winner by KO... DARREL SMITH, 4-4-3, 3-6-2
29469, It's a Draw!!, 2-3-1, 2-2-3
29470, And the winner by KO... TITUS BRADLEY, 2-6-1, 3-4-4
29471, And the winner by KO... RODOLFO BRADLEY, 5-4-5, 7-2-2
29472, And the winner by KO... DOMINIC DENMON, 2-6-2, 5-4-0
29473, It's a Draw!!, 5-1-3, 5-3-2
29474, And the winner by KO... VINCENT WEAVER, 2-6-0, 7-4-3
29475, And the winner by KO... ANTON EMMICK, 0-5-1, 4-4-0
29476, And the winner by KO... GAIL BARNES, 7-4-0, 3-5-2
29477, It's a Draw!!, 6-8-4, 5-4-3
29478, And the winner by KO... SONNY DEVEAUX, 9-3-2, 1-3-0
29479, And the winner by KO... ALLAN WELCH, 4-5-1, 5-5-0
29480, And the winner by KO... CHI MORGAN, 4-3-1, 5-4-0
29481, And the winner by KO... BARRETT HAWKINS, 3-8-0, 2-4-3
29482, And the winner by KO... NAPOLEON HARRIS, 4-3-2, 3-9-1
29483, And the winner by KO... REED THOMAS, 4-5-5, 5-5-5
29484, And the winner by KO... ALTON HANSON, 3-2-1, 2-3-0
29485, It's a Draw!!, 5-3-1, 3-1-1
29486, And the winner by KO... JIMMY REYNOLDS, 2-2-5, 6-3-3
29487, It's a Draw!!, 7-3-1, 3-6-2
29488, And the winner by KO... BART BERRY, 6-5-0, 2-6-2
29489, And the winner by KO... EMERY MARTINEZ, 5-5-2, 5-3-4
29490, And the winner by KO... GUSTAVO HARRIS, 3-2-3, 6-4-1
29491, It's a Draw!!, 1-3-7, 4-3-4
29492, It's a Draw!!, 5-6-2, 4-4-2
29493, And the winner by KO... LINO FRAZIER, 4-3-2, 3-7-2
29494, It's a Draw!!, 4-2-1, 1-2-2
29495, And the winner by KO... LINCOLN HENRY, 6-4-0, 2-5-1
29496, And the winner by KO... BRETT HERNANDEZ, 5-2-2, 2-1-0
29497, And the winner by KO... JERMAINE REYNOLDS, 4-3-0, 5-1-3
29498, It's a Draw!!, 3-1-2, 4-5-6
29499, And the winner by KO... JORDON SCOTT, 4-10-3, 3-4-0
29500, It's a Draw!!, 1-5-4, 2-3-4
29501, And the winner by KO... LEANDRO POWELL, 4-3-2, 4-1-3
29502, And the winner by KO... KENDRICK WRIGHT, 4-3-1, 5-6-2
29503, And the winner by KO... RUDY REID, 3-5-2, 4-5-1
29504, It's a Draw!!, 1-7-3, 5-6-2
29505, And the winner by KO... DARIN DANIELS, 6-4-0, 2-4-2
29506, And the winner by KO... JOHNNY RODRIGUEZ, 0-5-1, 7-2-3
29507, And the winner by KO... ALEC HENRY, 1-5-5, 1-4-3
29508, It's a Draw!!, 8-3-2, 4-4-4
29509, And the winner by KO... ALEXANDER CLARK, 5-5-3, 3-3-2
29510, It's a Draw!!, 5-3-2, 4-4-1
29511, And the winner by KO... LINCOLN DONATHAN, 3-4-0, 3-3-1
29512, And the winner by KO... MAXIMO RAMIREZ, 3-3-3, 9-4-1
29513, And the winner by KO... GARTH COX, 3-3-7, 3-6-0
29514, And the winner by KO... SAMUEL LAWRENCE, 4-1-0, 11-8-2
29515, And the winner by KO... JESUS FISHER, 4-5-2, 5-4-2
29516, And the winner by KO... JEWEL RIVERA, 5-4-1, 2-3-1
29517, And the winner by KO... TOBY MCDONALD, 3-9-2, 4-3-1
29518, And the winner by KO... ALFONSO MOORE, 5-2-1, 2-2-3
29519, It's a Draw!!, 4-4-2, 5-3-4
29520, And the winner by KO... CHANG STEVENS, 2-4-2, 5-4-1
29521, And the winner by KO... LEANDRO REYNOLDS, 3-5-2, 3-2-1
29522, It's a Draw!!, 1-4-2, 4-3-2
29523, And the winner by KO... LEONEL MILLS, 2-9-0, 6-4-0
29524, And the winner by KO... REED THOMAS, 6-3-1, 5-5-6
29525, And the winner by KO... DAMIAN FRANKLIN, 6-6-0, 8-2-1
29526, And the winner by KO... SCOT DESAUTELS, 7-3-5, 8-3-4
29527, And the winner by KO... ROBT EISMAN, 7-7-2, 3-3-3
29528, It's a Draw!!, 4-3-2, 6-4-1
29529, And the winner by KO... KING GIBSON, 4-3-2, 3-6-0
29530, And the winner by KO... MERVIN FINTON, 6-2-1, 6-5-3
29531, And the winner by KO... DANILO PHILLIPS, 3-7-2, 6-2-3
29532, And the winner by KO... FRANKIE REYES, 5-2-4, 5-2-2
29533, It's a Draw!!, 3-3-3, 9-4-4
29534, And the winner by KO... CARLTON ANDERSON, 5-3-2, 3-4-2
29535, And the winner by KO... DEWEY BREWER, 3-4-1, 2-4-0
29536, And the winner by KO... EMORY MILLS, 5-5-2, 5-7-2
29537, It's a Draw!!, 3-4-4, 2-5-3
29538, And the winner by KO... HOYT RYAN, 4-2-1, 4-2-2
29539, And the winner by KO... NICOLAS ALEXANDER, 2-3-1, 1-5-2
29540, And the winner by KO... DICK PETERS, 2-0-3, 3-3-1
29541, And the winner by KO... MARGARITO DESPER, 4-5-4, 4-3-1
29542, It's a Draw!!, 7-2-2, 7-2-2
29543, And the winner by KO... SOLOMON PARKER, 4-6-2, 4-2-3
29544, It's a Draw!!, 4-3-2, 2-4-4
29545, And the winner by KO... REFUGIO RAMOS, 5-2-2, 1-8-0
29546, And the winner by KO... DOMINIC HUDSON, 2-4-4, 2-10-2
29547, And the winner by KO... TRINIDAD JENKINS, 2-3-0, 2-3-1
29548, And the winner by KO... IRWIN FAIRES, 1-3-2, 3-5-2
29549, And the winner by KO... ARDEN YOUNG, 5-6-2, 3-1-0
29550, And the winner by KO... ALDO SANCHEZ, 6-5-0, 5-5-2
29551, It's a Draw!!, 1-3-5, 9-6-3
29552, And the winner by KO... BRIAN LANE, 4-4-4, 3-7-3
29553, And the winner by KO... STANLEY EVANS, 6-6-2, 5-7-2
29554, And the winner by KO... HASSAN ROGERS, 4-4-0, 3-9-1
29555, And the winner by KO... RASHAD DAY, 5-2-1, 6-4-1
29556, And the winner by KO... MERLE BAKER, 3-1-3, 2-7-1
29557, And the winner by KO... HENRY RILEY, 4-4-1, 4-7-2
29558, And the winner by KO... MAC TORRES, 1-1-2, 4-4-1
29559, And the winner by KO... DELMER HARRISON, 5-6-5, 4-7-3
29560, And the winner by KO... LEO HOFFMAN, 6-3-0, 6-2-1
29561, It's a Draw!!, 3-5-3, 4-5-2
29562, And the winner by KO... IRVING FAUSNAUGHT, 5-8-0, 5-4-2
29563, And the winner by KO... LUPE FITZHENRY, 2-5-1, 4-4-1
29564, And the winner by KO... MERVIN FINTON, 7-5-3, 4-4-1
29565, And the winner by KO... BART HALL, 5-8-2, 4-4-1
29566, It's a Draw!!, 3-4-4, 7-2-3
29567, It's a Draw!!, 5-2-2, 1-5-3
29568, And the winner by KO... REX DURIO, 1-2-2, 3-5-1
29569, And the winner by KO... ARLIE EAGAR, 3-8-3, 5-6-1
29570, And the winner by KO... ALFONSO RODRIGUEZ, 3-0-2, 2-5-1
29571, And the winner by KO... COLE DEAN, 3-7-2, 7-3-0
29572, It's a Draw!!, 4-6-3, 4-3-3
29573, And the winner by KO... ELI HAMILTON, 6-6-3, 1-3-3
29574, And the winner by KO... DOMINGO HARVEY, 6-2-3, 4-3-4
29575, And the winner by KO... BUD HARRISON, 6-2-4, 3-4-2
29576, And the winner by KO... DAVIS HUNT, 2-5-2, 5-2-0
29577, And the winner by KO... SAM HOLLAND, 2-3-5, 4-6-3
29578, And the winner by KO... LUCIO OLSON, 2-3-1, 3-3-3
29579, And the winner by KO... DEVIN KELLY, 2-3-2, 3-6-2
29580, And the winner by KO... COLBY STONE, 3-5-2, 5-5-2
29581, It's a Draw!!, 3-4-6, 5-5-2
29582, And the winner by KO... GAIL BARNES, 2-7-4, 8-4-0
29583, And the winner by KO... JOHNIE FREEMAN, 2-3-3, 2-3-0
29584, And the winner by KO... ALDEN ARMSTRONG, 2-9-0, 6-5-0
29585, And the winner by KO... RUPERT RAY, 2-8-2, 7-1-1
29586, And the winner by KO... BASIL EKDAHL, 6-2-2, 4-6-2
29587, And the winner by KO... DESMOND WARREN, 4-6-1, 2-3-3
29588, It's a Draw!!, 3-7-5, 1-2-2
29589, And the winner by KO... JOSE WEBB, 7-5-2, 3-4-2
29590, It's a Draw!!, 2-6-3, 5-2-4
29591, And the winner by KO... SID HANSON, 5-0-2, 6-4-3
29592, And the winner by KO... ERVIN CLARK, 4-5-2, 5-3-2
29593, It's a Draw!!, 4-4-2, 6-2-4
29594, And the winner by KO... RANDALL JENKINS, 2-8-4, 5-11-3
29595, And the winner by KO... PERCY WALTERS, 6-7-2, 6-4-2
29596, And the winner by KO... EDMUNDO WATSON, 6-1-4, 3-5-1
29597, And the winner by KO... DION CHAVEZ, 2-7-1, 4-4-4
29598, And the winner by KO... FRANCISCO ROBERTS, 5-6-1, 5-5-1
29599, And the winner by KO... EDDY SIMS, 6-5-3, 5-3-3
29600, And the winner by KO... MOHAMED FAIRES, 8-3-1, 3-3-3
29601, It's a Draw!!, 3-4-2, 4-1-2
29602, And the winner by KO... ALONZO NELSON, 4-3-0, 7-8-0
29603, It's a Draw!!, 3-2-2, 7-8-1
29604, And the winner by KO... KEVEN DIXON, 6-7-3, 7-2-3
29605, And the winner by KO... CALVIN ANDERSON, 8-4-3, 7-3-2
29606, It's a Draw!!, 5-3-2, 4-4-5
29607, And the winner by KO... MAXWELL TERRY, 5-5-1, 5-5-1
29608, And the winner by KO... ALI FLORES, 7-3-3, 1-5-1
29609, And the winner by KO... DOMINGO HARVEY, 5-5-3, 7-2-3
29610, And the winner by KO... CARLOS ROMERO, 2-7-0, 6-8-3
29611, And the winner by KO... MARLIN WRIGHT, 4-8-3, 4-7-1
29612, And the winner by KO... DANIAL JACOBS, 6-6-2, 3-4-3
29613, And the winner by KO... JOAN DUDEN, 5-9-2, 1-3-4
29614, And the winner by KO... LORENZO DUNWOODY, 4-5-2, 2-3-3
29615, And the winner by KO... CLEO RICE, 4-7-5, 1-4-4
29616, And the winner by KO... MARTY WOODS, 5-6-1, 2-7-1
29617, And the winner by KO... MARCUS GILBERT, 3-8-3, 7-4-2
29618, And the winner by KO... MARC FOX, 4-6-1, 4-5-3
29619, And the winner by KO... DARREL PETERSON, 6-4-3, 3-3-3
29620, And the winner by KO... ANTIONE RUIZ, 5-0-2, 6-3-1
29621, And the winner by KO... EMILE FISHER, 1-4-2, 6-2-1
29622, It's a Draw!!, 8-5-2, 7-2-4
29623, And the winner by KO... MANUEL DEMSKI, 6-5-2, 3-3-2
29624, And the winner by KO... SHON MORGAN, 6-7-4, 3-3-0
29625, And the winner by KO... BRAIN PERKINS, 4-1-1, 3-3-2
29626, And the winner by KO... RODRICK FITZHENRY, 3-8-0, 7-3-2
29627, And the winner by KO... REYES FARRAH, 5-3-4, 3-3-4
29628, And the winner by KO... DOMINIC DENMON, 4-5-2, 3-6-2
29629, And the winner by KO... HUEY VASQUEZ, 3-6-1, 4-6-2
29630, And the winner by KO... RYAN EDDINGER, 5-3-1, 8-0-2
29631, It's a Draw!!, 4-4-3, 4-1-1
29632, And the winner by KO... KIRBY OLIVER, 4-3-4, 8-0-2
29633, And the winner by KO... EARLE HOWARD, 5-5-4, 6-6-0
29634, And the winner by KO... DIEGO FLORES, 1-1-3, 5-4-1
29635, And the winner by KO... FIDEL MONTGOMERY, 5-6-3, 2-7-1
29636, And the winner by KO... BRIAN CASTILLO, 1-9-0, 4-1-2
29637, And the winner by KO... HILTON FAIRES, 7-1-2, 9-5-1
29638, And the winner by KO... FEDERICO JONES, 1-3-4, 4-2-4
29639, And the winner by KO... ROBT EISMAN, 3-5-1, 4-3-3
29640, And the winner by KO... MILO BENNETT, 4-2-1, 3-2-1
29641, And the winner by KO... STANLEY EVANS, 8-4-1, 7-6-2
29642, And the winner by KO... BOBBY MILLS, 2-8-1, 6-5-3
29643, And the winner by KO... ALLAN WHEELER, 4-5-4, 1-2-3
29644, And the winner by KO... REGGIE FARQUHARSON, 1-8-4, 2-4-3
29645, And the winner by KO... KRISTOPHER DUDEN, 0-2-4, 3-1-1
29646, And the winner by KO... FEDERICO MYERS, 4-6-1, 1-10-2
29647, And the winner by KO... CARLOS SPENCER, 2-3-1, 0-4-5
29648, And the winner by KO... CORTEZ SIMMONS, 2-6-0, 4-6-1
29649, And the winner by KO... ENOCH COLLINS, 9-2-3, 7-7-1
29650, And the winner by KO... ROLANDO JENSEN, 3-7-3, 4-4-2
29651, It's a Draw!!, 3-5-2, 5-2-3
29652, And the winner by KO... BOBBY VARGAS, 2-4-1, 3-4-1
29653, And the winner by KO... FORREST EVANS, 4-3-3, 8-7-2
29654, And the winner by KO... SON VASQUEZ, 5-6-3, 5-6-1
29655, And the winner by KO... FRANCISCO CARR, 4-5-2, 3-6-1
29656, And the winner by KO... RAPHAEL FEOLA, 6-0-3, 3-4-1
29657, It's a Draw!!, 5-3-2, 4-2-3
29658, And the winner by KO... HENRY HUNT, 6-4-1, 6-4-2
29659, And the winner by KO... MAXIMO HARRIS, 6-8-1, 3-3-3
29660, And the winner by KO... TIM DERBYSHIRE, 3-4-3, 9-5-0
29661, And the winner by KO... ERVIN CLARK, 4-6-1, 6-3-2
29662, And the winner by KO... WESLEY REED, 0-5-1, 2-2-1
29663, It's a Draw!!, 4-3-3, 4-2-2
29664, And the winner by KO... SID HANSON, 6-0-2, 6-4-0
29665, And the winner by KO... FREDDIE MORALES, 8-2-0, 3-5-2
29666, And the winner by KO... OMER JOHNSTON, 4-8-2, 9-6-5
29667, And the winner by KO... LINCOLN DONATHAN, 4-3-1, 2-7-3
29668, And the winner by KO... ERASMO RYAN, 6-3-2, 8-2-2
29669, And the winner by KO... TREVOR ALVAREZ, 4-4-3, 2-2-2
29670, And the winner by KO... JESS CUNNINGHAM, 3-4-3, 3-2-0
29671, It's a Draw!!, 2-8-2, 2-2-2
29672, And the winner by KO... KURTIS OWENS, 5-4-0, 4-4-1
29673, It's a Draw!!, 2-3-5, 6-2-3
29674, And the winner by KO... LUCAS HOWARD, 10-4-4, 6-5-1
29675, And the winner by KO... ANTONE MURPHY, 9-7-5, 2-4-4
29676, And the winner by KO... MEL GRAY, 6-7-0, 5-7-0
29677, It's a Draw!!, 1-4-3, 8-3-5
29678, And the winner by KO... STAN MASON, 3-6-1, 4-5-2
29679, And the winner by KO... VITO WALKER, 8-5-7, 1-3-6
29680, And the winner by KO... JAYSON ROBERTSON, 3-6-2, 6-2-1
29681, And the winner by KO... NATHANAEL GARZA, 6-4-1, 3-6-2
29682, And the winner by KO... ERVIN CLARK, 7-3-2, 2-4-3
29683, And the winner by KO... NEWTON GARDNER, 8-4-1, 4-4-1
29684, And the winner by KO... EUSEBIO EISMAN, 5-4-3, 6-5-2
29685, And the winner by KO... HILTON ORTIZ, 1-4-1, 2-9-1
29686, And the winner by KO... LINDSEY FARQUHARSON, 8-1-2, 4-5-0
29687, It's a Draw!!, 5-3-2, 3-6-4
29688, It's a Draw!!, 8-6-8, 3-2-4
29689, And the winner by KO... FREDERIC JACKSON, 5-2-1, 3-7-2
29690, And the winner by KO... RICKY RAY, 3-5-1, 5-5-2
29691, And the winner by KO... DAVIS HUNT, 6-6-2, 6-2-0
29692, And the winner by KO... GERALDO CHAPMAN, 6-6-2, 3-3-2
29693, And the winner by KO... MITCHEL DOBROWOLSKI, 4-5-1, 10-4-2
29694, And the winner by KO... JC FERNANDEZ, 4-6-1, 3-8-3
29695, It's a Draw!!, 5-5-3, 2-7-2
29696, And the winner by KO... NUMBERS MORRISON, 7-3-3, 7-2-2
29697, And the winner by KO... BASIL FITZHENRY, 5-10-2, 1-5-1
29698, And the winner by KO... OCTAVIO HERNANDEZ, 1-7-1, 4-3-2
29699, And the winner by KO... CAMERON PAYNE, 10-7-2, 4-6-1
29700, And the winner by KO... RASHAD DAY, 6-2-1, 6-3-4
29701, And the winner by KO... EDUARDO HARVEY, 5-3-2, 5-3-0
29702, And the winner by KO... EDWIN ROSE, 2-6-1, 6-3-1
29703, And the winner by KO... GAIL JAMES, 7-3-3, 5-4-0
29704, And the winner by KO... ROSCOE MOORE, 3-5-4, 2-2-2
29705, And the winner by KO... RUDY REID, 5-5-1, 3-5-0
29706, And the winner by KO... THURMAN MASON, 1-6-4, 4-3-4
29707, And the winner by KO... COLTON BREWER, 3-5-1, 3-7-2
29708, And the winner by KO... NOAH PEREZ, 4-4-1, 5-12-3
29709, And the winner by KO... MANUEL LITTLE, 5-4-3, 4-6-1
29710, And the winner by KO... STAN RICE, 6-2-4, 6-4-1
29711, And the winner by KO... BLAINE GRIFFIN, 2-5-4, 5-2-3
29712, And the winner by KO... GUILLERMO HARRIS, 2-4-1, 5-3-2
29713, And the winner by KO... MARTY DENA, 4-4-4, 3-6-2
29714, And the winner by KO... BRET WEAVER, 6-4-1, 3-9-3
29715, And the winner by KO... BARRETT JACOBS, 4-7-0, 9-5-2
29716, And the winner by KO... MOSE MATTHEWS, 2-4-4, 4-5-2
29717, It's a Draw!!, 1-5-2, 1-3-1
29718, It's a Draw!!, 2-6-1, 2-9-3
29719, And the winner by KO... RONNY ROSE, 4-4-1, 0-4-2
29720, And the winner by KO... PAT DINGEE, 6-4-3, 6-8-2
29721, And the winner by KO... STEPHEN SMITH, 4-5-3, 5-6-1
29722, And the winner by KO... MYLES FAIRES, 9-7-3, 9-2-1
29723, And the winner by KO... KENTON ROBERTS, 4-6-4, 3-6-2
29724, And the winner by KO... HAL HENRY, 4-5-1, 6-3-2
29725, And the winner by KO... KENDRICK WRIGHT, 5-3-2, 6-2-4
29726, It's a Draw!!, 6-1-1, 9-5-3
29727, And the winner by KO... BART GRIFFIN, 5-1-1, 4-6-1
29728, It's a Draw!!, 3-2-4, 5-5-2
29729, And the winner by KO... NEWTON EKDAHL, 4-8-4, 6-2-4
29730, And the winner by KO... CAMERON COLE, 2-5-0, 5-2-1
29731, And the winner by KO... WINFORD MEYER, 3-5-4, 1-8-0
29732, It's a Draw!!, 6-4-4, 8-3-1
29733, And the winner by KO... GERARD KELLY, 2-6-2, 4-2-1
29734, And the winner by KO... VINCENT CUNNINGHAM, 3-6-1, 3-2-2
29735, And the winner by KO... SONNY JACOBS, 4-8-0, 8-5-1
29736, And the winner by KO... CHAUNCEY PAYNE, 5-7-4, 8-3-0
29737, And the winner by KO... LAURENCE OWENS, 6-4-2, 0-1-2
29738, And the winner by KO... HIPOLITO DUDEN, 1-5-2, 2-6-0
29739, And the winner by KO... SANTOS CAMPBELL, 3-7-1, 7-4-0
29740, And the winner by KO... GUADALUPE EGGLETON, 5-5-0, 4-4-0
29741, And the winner by KO... FOSTER PIERCE, 3-4-3, 3-4-1
29742, And the winner by KO... TRUMAN FISHBEIN, 4-3-2, 7-2-3
29743, It's a Draw!!, 5-5-4, 3-4-2
29744, And the winner by KO... GAYLE ANDREWS, 5-4-2, 5-5-2
29745, And the winner by KO... NOE CARPENTER, 5-4-1, 6-5-1
29746, And the winner by KO... FRANCES BURTON, 6-2-2, 4-4-0
29747, And the winner by KO... FORREST MARTINEZ, 8-2-0, 4-5-1
29748, And the winner by KO... DENVER EAGAR, 2-3-2, 3-1-1
29749, And the winner by KO... ANTONE MURPHY, 3-4-4, 5-4-1
29750, And the winner by KO... ROLANDO JENKINS, 4-6-2, 2-10-2
29751, And the winner by KO... LOUIE SIMPSON, 3-5-3, 4-1-2
29752, And the winner by KO... CRISTOBAL FRANKLIN, 3-3-3, 2-6-3
29753, And the winner by KO... MARGARITO DESPER, 7-4-3, 5-3-1
29754, And the winner by KO... ELVIN KELLY, 1-5-0, 7-6-6
29755, And the winner by KO... JAYSON GRAY, 3-8-2, 2-4-1
29756, And the winner by KO... TOBY ARNOLD, 3-7-0, 5-4-1
29757, And the winner by KO... LAMAR STONE, 5-4-2, 8-5-4
29758, It's a Draw!!, 0-4-6, 2-2-4
29759, And the winner by KO... DEVIN EAGAR, 3-7-2, 2-5-0
29760, And the winner by KO... FAUSTO CRUZ, 3-6-3, 2-8-4
29761, And the winner by KO... STACEY ROMERO, 7-4-1, 5-5-4
29762, And the winner by KO... STEVEN MURRAY, 5-3-1, 4-6-3
29763, And the winner by KO... NOEL GARCIA, 7-3-5, 4-5-1
29764, And the winner by KO... LAURENCE BURNS, 7-2-3, 9-8-5
29765, It's a Draw!!, 2-3-3, 5-7-4
29766, And the winner by KO... ROYCE BOWMAN, 4-4-2, 3-3-4
29767, And the winner by KO... DAREN DEVALLE, 4-4-2, 2-5-4
29768, It's a Draw!!, 2-5-5, 7-4-3
29769, It's a Draw!!, 2-1-3, 3-6-5
29770, It's a Draw!!, 3-4-1, 0-7-2
29771, And the winner by KO... WAYLON TERRY, 6-2-4, 2-3-0
29772, It's a Draw!!, 2-1-4, 5-8-3
29773, And the winner by KO... NORMAN OWENS, 12-4-3, 1-6-2
29774, It's a Draw!!, 7-3-4, 1-1-6
29775, And the winner by KO... BRYCE KELLEY, 2-7-1, 5-3-2
29776, And the winner by KO... MERVIN COLLINS, 2-4-0, 4-5-0
29777, And the winner by KO... HILTON FAIRES, 8-1-2, 4-4-4
29778, It's a Draw!!, 8-5-3, 4-8-3
29779, It's a Draw!!, 4-7-6, 1-3-7
29780, It's a Draw!!, 1-4-2, 8-4-1
29781, And the winner by KO... BLAINE DUNCAN, 6-1-4, 3-6-1
29782, And the winner by KO... MITCH LOPEZ, 4-4-3, 7-4-2
29783, It's a Draw!!, 3-3-5, 2-5-1
29784, And the winner by KO... CHUCK WEST, 4-4-2, 4-4-2
29785, And the winner by KO... JUDSON CARTER, 6-3-1, 6-5-5
29786, And the winner by KO... WILLIAN DAY, 5-1-2, 5-3-2
29787, And the winner by KO... STEPHEN SMITH, 4-5-0, 6-6-1
29788, And the winner by KO... CLINT PEREZ, 3-4-2, 3-4-3
29789, It's a Draw!!, 4-3-2, 2-5-3
29790, And the winner by KO... CAREY CUNNINGHAM, 4-4-1, 7-7-3
29791, And the winner by KO... RANDALL GOMEZ, 2-5-4, 9-3-1
29792, And the winner by KO... ABE SMITH, 4-5-0, 6-5-0
29793, And the winner by KO... SONNY DEVEAUX, 1-3-2, 10-3-2
29794, It's a Draw!!, 7-6-7, 3-4-3
29795, And the winner by KO... IRWIN BYRD, 5-3-3, 2-6-1
29796, It's a Draw!!, 4-4-4, 3-4-3
29797, And the winner by KO... LEIGH JAMES, 0-5-2, 4-6-1
29798, And the winner by KO... EZEKIEL GRAHAM, 5-6-2, 3-4-1
29799, And the winner by KO... DESMOND EVANS, 6-3-0, 4-6-2
29800, And the winner by KO... CARMEN PRICE, 5-3-2, 5-7-1
29801, And the winner by KO... VALENTIN FLORES, 4-1-3, 4-5-4
29802, And the winner by KO... DWAIN BUTLER, 4-4-3, 3-3-2
29803, And the winner by KO... DARREN SPENCER, 3-5-3, 4-4-3
29804, And the winner by KO... SHAUN ENRIQUES, 3-4-3, 6-6-2
29805, And the winner by KO... MITCH LOPEZ, 6-6-0, 8-4-2
29806, And the winner by KO... FREDERIC JACKSON, 6-2-1, 3-11-2
29807, And the winner by KO... NEWTON EKDAHL, 6-3-2, 7-2-4
29808, It's a Draw!!, 2-4-1, 4-7-3
29809, And the winner by KO... SERGIO CARTER, 6-4-1, 5-2-3
29810, And the winner by KO... CONNIE PRICE, 5-7-1, 3-8-0
29811, And the winner by KO... HUGO FERNANDEZ, 7-3-2, 6-4-1
29812, And the winner by KO... SID TAYLOR, 4-7-2, 4-1-1
29813, And the winner by KO... JOAN DUDEN, 4-6-1, 2-4-4
29814, And the winner by KO... DEL HALL, 7-6-3, 8-6-2
29815, And the winner by KO... MARCELINO RAMIREZ, 5-4-5, 5-5-3
29816, And the winner by KO... DEMARCUS REED, 2-2-1, 5-4-0
29817, It's a Draw!!, 7-6-3, 3-2-2
29818, It's a Draw!!, 3-4-3, 4-3-2
29819, It's a Draw!!, 6-2-3, 4-3-3
29820, And the winner by KO... JACINTO SMITH, 5-1-0, 5-6-2
29821, And the winner by KO... RAPHAEL FEOLA, 5-2-1, 7-0-3
29822, It's a Draw!!, 2-9-2, 5-2-6
29823, And the winner by KO... MARC FOX, 5-5-3, 5-5-0
29824, It's a Draw!!, 3-2-3, 1-4-3
29825, And the winner by KO... CLINT PEREZ, 6-6-1, 4-4-2
29826, And the winner by KO... DONN HICKS, 6-3-3, 3-7-0
29827, And the winner by KO... DENVER PARKER, 3-5-3, 3-1-5
29828, And the winner by KO... WALKER DAVIS, 5-5-0, 3-5-2
29829, And the winner by KO... ADAN DESAUTELS, 2-3-1, 5-3-1
29830, And the winner by KO... ELIAS RICE, 6-3-2, 7-2-5
29831, And the winner by KO... ANTONY JONES, 4-2-4, 4-4-2
29832, And the winner by KO... STANLEY BYRD, 3-5-3, 4-5-4
29833, And the winner by KO... ROSCOE CARROLL, 4-5-1, 3-5-4
29834, And the winner by KO... RUDOLPH BRADLEY, 8-4-1, 3-7-3
29835, And the winner by KO... HASSAN BREWER, 1-4-2, 4-3-3
29836, And the winner by KO... ELDON RAMOS, 5-5-0, 5-2-2
29837, And the winner by KO... EUSEBIO EISMAN, 4-7-2, 6-4-3
29838, And the winner by KO... LAMAR STONE, 9-5-4, 4-4-0
29839, And the winner by KO... BASIL HARRIS, 6-5-2, 7-5-1
29840, And the winner by KO... NELSON WATKINS, 8-1-3, 4-5-1
29841, It's a Draw!!, 0-5-2, 5-7-1
29842, And the winner by KO... LUPE FITZHENRY, 1-1-4, 5-4-1
29843, And the winner by KO... JULIO MARTINEZ, 4-8-2, 6-0-0
29844, And the winner by KO... WILLIS WILLIAMS, 3-4-1, 7-2-0
29845, And the winner by KO... MIKEL ESSMAN, 6-2-2, 2-5-1
29846, It's a Draw!!, 4-2-4, 4-5-4
29847, And the winner by KO... JIMMY RUSSELL, 5-6-1, 5-1-3
29848, And the winner by KO... STUART DUNWOODY, 3-3-0, 3-3-1
29849, And the winner by KO... EMMANUEL HENDERSON, 4-8-3, 4-3-2
29850, And the winner by KO... GILBERT GOMEZ, 2-3-2, 5-5-1
29851, And the winner by KO... NEWTON GARDNER, 9-4-1, 2-5-0
29852, And the winner by KO... FREDDIE MORALES, 9-3-0, 8-5-1
29853, And the winner by KO... FRANCIS WOOD, 5-4-1, 4-9-0
29854, It's a Draw!!, 3-3-2, 3-5-5
29855, It's a Draw!!, 6-2-2, 3-3-5
29856, And the winner by KO... REGINALD EDDINGER, 7-5-3, 3-4-3
29857, And the winner by KO... MIKE DESPER, 2-5-2, 1-5-3
29858, And the winner by KO... JC FISHBEIN, 4-3-2, 6-2-4
29859, And the winner by KO... ANTIONE FERGUSON, 4-6-1, 4-4-3
29860, It's a Draw!!, 2-5-2, 3-1-3
29861, It's a Draw!!, 8-1-1, 2-4-2
29862, It's a Draw!!, 6-3-1, 3-5-4
29863, It's a Draw!!, 2-4-3, 2-4-3
29864, And the winner by KO... BASIL BOWMAN, 7-3-2, 1-1-0
29865, And the winner by KO... ALAN COX, 2-3-7, 2-6-2
29866, And the winner by KO... MARSHALL HOWELL, 3-2-3, 5-3-1
29867, And the winner by KO... SERGIO CARTER, 6-2-3, 2-3-2
29868, And the winner by KO... ALEXIS HUNT, 3-4-3, 5-7-0
29869, It's a Draw!!, 4-9-2, 3-1-2
29870, And the winner by KO... BO NELSON, 4-5-2, 7-3-4
29871, It's a Draw!!, 6-6-2, 6-4-2
29872, And the winner by KO... BARRETT JACOBS, 3-9-0, 5-7-0
29873, And the winner by KO... JAMAAL WELLS, 3-4-1, 4-3-3
29874, And the winner by KO... LAUREN DESNOYERS, 3-4-2, 6-5-2
29875, And the winner by KO... FREDDY GREEN, 1-6-1, 4-3-1
29876, And the winner by KO... ABE FAUSNAUGHT, 4-10-0, 3-4-1
29877, It's a Draw!!, 2-5-2, 5-5-1
